"bulstrode","lydgate","vincy","casaubon","chettam","others","date"
0.333,0.389,0.035,0.156,0.056,0.066,2023-10-11
0.321,0.388,0.035,0.133666666666667,0.071,0.11,2023-10-12
0.3165,0.38525,0.035,0.138,0.076,0.10325,2023-10-13
0.3124,0.3858,0.035,0.1456,0.07625,0.0952,2023-10-14
0.3124,0.3858,0.035,0.1456,0.07625,0.0952,2023-10-15
0.313666666666667,0.3815,0.035,0.143,0.085,0.0893333333333333,2023-10-16
0.313666666666667,0.3815,0.035,0.143,0.085,0.0893333333333333,2023-10-17
0.313666666666667,0.379,0.035,0.144111111111111,0.08475,0.0828888888888889,2023-10-18
0.31125,0.37775,0.035,0.142625,0.0888571428571429,0.085,2023-10-19
0.31,0.3745,0.035,0.149333333333333,0.0893333333333333,0.0693333333333333,2023-10-20
0.310333333333333,0.369666666666667,0.0575,0.148666666666667,0.0893333333333333,0.0613333333333333,2023-10-21
0.306,0.366666666666667,0.0575,0.152666666666667,0.0898333333333333,0.0625,2023-10-22
0.302125,0.362125,0.0573333333333333,0.1535,0.093,0.064125,2023-10-23
0.298625,0.36375,0.0573333333333333,0.154,0.093875,0.065875,2023-10-24
0.295777777777778,0.362333333333333,0.0605,0.158222222222222,0.0898888888888889,0.0646666666666667,2023-10-25
0.288142857142857,0.351857142857143,0.069,0.164428571428571,0.0928571428571429,0.0702857142857143,2023-10-26
0.288142857142857,0.351857142857143,0.069,0.164428571428571,0.0928571428571429,0.0702857142857143,2023-10-27
0.289125,0.354125,0.06875,0.164625,0.08875,0.0665,2023-10-28
0.286857142857143,0.355,0.065,0.167142857142857,0.0891428571428571,0.071,2023-10-29
0.297625,0.34625,0.065,0.157625,0.094125,0.0775,2023-10-30
0.3,0.3455,0.069,0.158166666666667,0.0913333333333333,0.0803333333333333,2023-10-31
0.312,0.335571428571429,0.069,0.155142857142857,0.0884285714285714,0.0875714285714286,2023-11-01
0.3185,0.333,0.068,0.149,0.0935,0.093,2023-11-02
0.325333333333333,0.331166666666667,0.0695,0.1465,0.093,0.079,2023-11-03
0.327285714285714,0.332285714285714,0.062,0.145428571428571,0.0972857142857143,0.0694285714285714,2023-11-04
0.334,0.32425,0.046,0.15025,0.103,0.083875,2023-11-05
0.3334,0.3248,0.046,0.1503,0.102333333333333,0.0854,2023-11-06
0.336375,0.324125,0.046,0.1515,0.101714285714286,0.082625,2023-11-07
0.335333333333333,0.323222222222222,0.04925,0.151666666666667,0.105375,0.075,2023-11-08
0.33575,0.32075,0.0508,0.153375,0.111571428571429,0.061875,2023-11-09
0.33575,0.32075,0.0508,0.153375,0.111571428571429,0.061875,2023-11-10
0.337666666666667,0.321222222222222,0.044,0.150222222222222,0.112375,0.0675555555555555,2023-11-11
0.342666666666667,0.318444444444444,0.04325,0.148444444444444,0.109625,0.0747777777777778,2023-11-12
0.343375,0.31725,0.051,0.142,0.109625,0.0685,2023-11-13
0.3475,0.314,0.051,0.139166666666667,0.112833333333333,0.0608333333333333,2023-11-14
0.341125,0.31725,0.0592,0.1375,0.10525,0.06175,2023-11-15
0.343142857142857,0.317428571428571,0.05925,0.135285714285714,0.101571428571429,0.0685714285714286,2023-11-16
0.344,0.318571428571429,0.06,0.134857142857143,0.0975714285714286,0.0791428571428571,2023-11-17
0.38075,0.3145,0.0545,0.137,0.097625,0.076375,2023-11-18
0.390857142857143,0.314,0.05025,0.13,0.103142857142857,0.0717142857142857,2023-11-19
0.38125,0.313875,0.05025,0.12675,0.106875,0.078625,2023-11-20
0.387142857142857,0.314428571428571,0.05025,0.123428571428571,0.107857142857143,0.0755714285714286,2023-11-21
0.389,0.313375,0.0494,0.118875,0.10625,0.074125,2023-11-22
0.408625,0.3135,0.0335,0.113375,0.106375,0.073875,2023-11-23
0.408625,0.3135,0.0335,0.113375,0.106375,0.073875,2023-11-24
0.411,0.316875,0.039,0.108625,0.107,0.064375,2023-11-25
0.378571428571429,0.321285714285714,0.03925,0.102428571428571,0.108285714285714,0.0654285714285714,2023-11-26
0.374285714285714,0.321285714285714,0.0456666666666667,0.109571428571429,0.104,0.0711428571428571,2023-11-27
0.3844,0.3244,0.0456666666666667,0.108,0.0988,0.0588,2023-11-28
0.38175,0.32125,0.0586,0.105375,0.08625,0.069875,2023-11-29
0.378857142857143,0.323428571428571,0.06175,0.108,0.085,0.0707142857142857,2023-11-30
0.372666666666667,0.324833333333333,0.0755,0.108166666666667,0.0808333333333333,0.0648333333333333,2023-12-01
0.375142857142857,0.321,0.0714,0.109428571428571,0.0791428571428571,0.0655714285714286,2023-12-02
0.376714285714286,0.313714285714286,0.0712,0.116285714285714,0.0772857142857143,0.068,2023-12-03
0.383888888888889,0.312111111111111,0.0688571428571429,0.116444444444444,0.0696666666666667,0.0654444444444444,2023-12-04
0.387777777777778,0.310777777777778,0.0688571428571429,0.116777777777778,0.0617777777777778,0.0693333333333333,2023-12-05
0.3875,0.3088,0.0688571428571429,0.1189,0.0617,0.0749,2023-12-06
